Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4981.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2151.0 | Tempo Decorrido: 0.24s
Geração 0200 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.44s
Geração 0300 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.64s
Geração 0400 | Melhor Custo: 2068.0 | Tempo Decorrido: 0.86s
Geração 0500 | Melhor Custo: 2068.0 | Tempo Decorrido: 1.12s
Geração 0600 | Melhor Custo: 2068.0 | Tempo Decorrido: 1.37s
Geração 0700 | Melhor Custo: 2068.0 | Tempo Decorrido: 1.69s
Geração 0800 | Melhor Custo: 2068.0 | Tempo Decorrido: 1.98s
Geração 0900 | Melhor Custo: 2068.0 | Tempo Decorrido: 2.25s
Geração 1000 | Melhor Custo: 2068.0 | Tempo Decorrido: 2.52s
Geração 1100 | Melhor Custo: 2068.0 | Tempo Decorrido: 2.79s
Geração 1200 | Melhor Custo: 2068.0 | Tempo Decorrido: 3.11s
Geração 1300 | Melhor Custo: 2068.0 | Tempo Decorrido: 3.37s
Geração 1400 | Melhor Custo: 2068.0 | Tempo Decorrido: 3.66s
