Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4870.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.24s
Geração 0200 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.49s
Geração 0300 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.73s
Geração 0400 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.98s
Geração 0500 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.22s
Geração 0600 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.46s
Geração 0700 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.74s
Geração 0800 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.06s
Geração 0900 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.33s
Geração 1000 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.59s
Geração 1100 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.83s
Geração 1200 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.06s
Geração 1300 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.30s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.57s
