Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4805.0 | Tempo Decorrido: 0.00s
Geração 0010 | Melhor Custo: 3625.0 | Tempo Decorrido: 0.02s
Geração 0020 | Melhor Custo: 3004.0 | Tempo Decorrido: 0.04s
Geração 0030 | Melhor Custo: 2695.0 | Tempo Decorrido: 0.05s
Geração 0040 | Melhor Custo: 2460.0 | Tempo Decorrido: 0.07s
Geração 0050 | Melhor Custo: 2358.0 | Tempo Decorrido: 0.09s
Geração 0060 | Melhor Custo: 2224.0 | Tempo Decorrido: 0.11s
Geração 0070 | Melhor Custo: 2206.0 | Tempo Decorrido: 0.12s
Geração 0080 | Melhor Custo: 2160.0 | Tempo Decorrido: 0.14s
Geração 0090 | Melhor Custo: 2160.0 | Tempo Decorrido: 0.16s
Geração 0100 | Melhor Custo: 2145.0 | Tempo Decorrido: 0.17s
Geração 0110 | Melhor Custo: 2139.0 | Tempo Decorrido: 0.19s
Geração 0120 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.20s
Geração 0130 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.22s
Geração 0140 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.24s
Geração 0150 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.25s
Geração 0160 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.27s
Geração 0170 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.28s
Geração 0180 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.30s
Geração 0190 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.32s
Geração 0200 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.33s
Geração 0210 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.35s
Geração 0220 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.36s
Geração 0230 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.38s
Geração 0240 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.40s
Geração 0250 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.41s
Geração 0260 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.43s
Geração 0270 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.44s
Geração 0280 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.46s
Geração 0290 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.48s
Geração 0300 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.49s
Geração 0310 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.51s
Geração 0320 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.52s
Geração 0330 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.54s
Geração 0340 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.56s
Geração 0350 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.57s
Geração 0360 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.59s
Geração 0370 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.60s
Geração 0380 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.62s
Geração 0390 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.64s
Geração 0400 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.65s
Geração 0410 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.67s
Geração 0420 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.68s
Geração 0430 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.70s
Geração 0440 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.72s
Geração 0450 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.73s
Geração 0460 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.75s
Geração 0470 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.76s
Geração 0480 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.78s
Geração 0490 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.79s
Geração 0500 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.81s
Geração 0510 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.83s
Geração 0520 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.84s
Geração 0530 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.86s
Geração 0540 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.87s
Geração 0550 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.89s
Geração 0560 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.91s
Geração 0570 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.92s
Geração 0580 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.94s
Geração 0590 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.96s
Geração 0600 | Melhor Custo: 2104.0 | Tempo Decorrido: 0.98s
Geração 0610 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.00s
Geração 0620 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.01s
Geração 0630 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.03s
Geração 0640 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.05s
Geração 0650 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.07s
Geração 0660 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.10s
Geração 0670 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.12s
Geração 0680 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.13s
Geração 0690 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.15s
Geração 0700 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.17s
Geração 0710 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.18s
Geração 0720 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.20s
Geração 0730 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.21s
Geração 0740 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.23s
Geração 0750 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.25s
Geração 0760 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.26s
Geração 0770 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.28s
Geração 0780 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.29s
Geração 0790 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.31s
Geração 0800 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.33s
Geração 0810 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.34s
Geração 0820 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.36s
Geração 0830 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.38s
Geração 0840 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.39s
Geração 0850 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.41s
Geração 0860 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.43s
Geração 0870 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.44s
Geração 0880 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.46s
Geração 0890 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.48s
Geração 0900 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.49s
Geração 0910 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.51s
Geração 0920 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.53s
Geração 0930 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.54s
Geração 0940 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.56s
Geração 0950 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.58s
Geração 0960 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.59s
Geração 0970 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.61s
Geração 0980 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.63s
Geração 0990 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.64s
Geração 1000 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.66s
Geração 1010 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.67s
Geração 1020 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.69s
Geração 1030 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.71s
Geração 1040 | Melhor Custo: 2104.0 | Tempo Decorrido: 1.72s
