Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4971.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2156.0 | Tempo Decorrido: 0.26s
Geração 0200 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.50s
Geração 0300 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.75s
Geração 0400 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.03s
Geração 0500 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.25s
Geração 0600 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.51s
Geração 0700 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.82s
Geração 0800 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.08s
Geração 0900 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.39s
Geração 1000 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.63s
Geração 1100 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.86s
Geração 1200 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.12s
Geração 1300 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.44s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.70s
