Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4720.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2038.0 | Tempo Decorrido: 0.24s
Geração 0200 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.45s
Geração 0300 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.73s
Geração 0400 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.95s
Geração 0500 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.23s
Geração 0600 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.46s
Geração 0700 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.70s
Geração 0800 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.95s
Geração 0900 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.22s
Geração 1000 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.54s
Geração 1100 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.79s
Geração 1200 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.04s
Geração 1300 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.32s
Geração 1400 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.57s
