Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 5015.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2494.0 | Tempo Decorrido: 0.28s
Geração 0200 | Melhor Custo: 2199.0 | Tempo Decorrido: 0.56s
Geração 0300 | Melhor Custo: 2199.0 | Tempo Decorrido: 0.84s
Geração 0400 | Melhor Custo: 2147.0 | Tempo Decorrido: 1.09s
Geração 0500 | Melhor Custo: 2133.0 | Tempo Decorrido: 1.35s
Geração 0600 | Melhor Custo: 2112.0 | Tempo Decorrido: 1.63s
Geração 0700 | Melhor Custo: 2112.0 | Tempo Decorrido: 1.92s
Geração 0800 | Melhor Custo: 2112.0 | Tempo Decorrido: 2.20s
Geração 0900 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.52s
Geração 1000 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.74s
Geração 1100 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.97s
Geração 1200 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.24s
Geração 1300 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.57s
Geração 1400 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.87s
