Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4698.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2510.0 | Tempo Decorrido: 0.33s
Geração 0200 | Melhor Custo: 2213.0 | Tempo Decorrido: 0.61s
Geração 0300 | Melhor Custo: 2177.0 | Tempo Decorrido: 0.92s
Geração 0400 | Melhor Custo: 2177.0 | Tempo Decorrido: 1.22s
Geração 0500 | Melhor Custo: 2133.0 | Tempo Decorrido: 1.55s
Geração 0600 | Melhor Custo: 2105.0 | Tempo Decorrido: 1.87s
Geração 0700 | Melhor Custo: 2078.0 | Tempo Decorrido: 2.13s
Geração 0800 | Melhor Custo: 2078.0 | Tempo Decorrido: 2.47s
Geração 0900 | Melhor Custo: 2067.0 | Tempo Decorrido: 2.78s
Geração 1000 | Melhor Custo: 2042.0 | Tempo Decorrido: 3.12s
Geração 1100 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.44s
Geração 1200 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.70s
Geração 1300 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.98s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 4.21s
