Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4162.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2557.0 | Tempo Decorrido: 0.32s
Geração 0200 | Melhor Custo: 2400.0 | Tempo Decorrido: 0.61s
Geração 0300 | Melhor Custo: 2261.0 | Tempo Decorrido: 0.89s
Geração 0400 | Melhor Custo: 2236.0 | Tempo Decorrido: 1.23s
Geração 0500 | Melhor Custo: 2236.0 | Tempo Decorrido: 1.55s
Geração 0600 | Melhor Custo: 2147.0 | Tempo Decorrido: 1.88s
Geração 0700 | Melhor Custo: 2073.0 | Tempo Decorrido: 2.20s
Geração 0800 | Melhor Custo: 2060.0 | Tempo Decorrido: 2.47s
Geração 0900 | Melhor Custo: 2058.0 | Tempo Decorrido: 2.73s
Geração 1000 | Melhor Custo: 2058.0 | Tempo Decorrido: 3.02s
Geração 1100 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.29s
Geração 1200 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.59s
Geração 1300 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.88s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 4.13s
