Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4905.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2348.0 | Tempo Decorrido: 0.25s
Geração 0200 | Melhor Custo: 2060.0 | Tempo Decorrido: 0.51s
Geração 0300 | Melhor Custo: 2058.0 | Tempo Decorrido: 0.78s
Geração 0400 | Melhor Custo: 2058.0 | Tempo Decorrido: 1.06s
Geração 0500 | Melhor Custo: 2058.0 | Tempo Decorrido: 1.39s
Geração 0600 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.66s
Geração 0700 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.90s
Geração 0800 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.20s
Geração 0900 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.45s
Geração 1000 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.73s
Geração 1100 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.07s
Geração 1200 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.31s
Geração 1300 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.60s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.88s
