Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4904.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2640.0 | Tempo Decorrido: 0.24s
Geração 0200 | Melhor Custo: 2469.0 | Tempo Decorrido: 0.52s
Geração 0300 | Melhor Custo: 2202.0 | Tempo Decorrido: 0.77s
Geração 0400 | Melhor Custo: 2081.0 | Tempo Decorrido: 1.08s
Geração 0500 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.36s
Geração 0600 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.63s
Geração 0700 | Melhor Custo: 2028.0 | Tempo Decorrido: 1.89s
Geração 0800 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.17s
Geração 0900 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.44s
Geração 1000 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.74s
Geração 1100 | Melhor Custo: 2028.0 | Tempo Decorrido: 2.99s
Geração 1200 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.25s
Geração 1300 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.48s
Geração 1400 | Melhor Custo: 2028.0 | Tempo Decorrido: 3.76s
