Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5483.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 4437.05 | Melhor Custo: 5186.0 | Tempo Decorrido: 0.0030s
Ciclo 0010 | Temp: 1968.74 | Melhor Custo: 4631.0 | Tempo Decorrido: 0.0068s
Ciclo 0015 | Temp:  873.54 | Melhor Custo: 3902.0 | Tempo Decorrido: 0.0098s
Ciclo 0020 | Temp:  387.60 | Melhor Custo: 3902.0 | Tempo Decorrido: 0.0133s
Ciclo 0025 | Temp:  171.98 | Melhor Custo: 3902.0 | Tempo Decorrido: 0.0159s
Ciclo 0030 | Temp:   76.31 | Melhor Custo: 3545.0 | Tempo Decorrido: 0.0190s
Ciclo 0035 | Temp:   33.86 | Melhor Custo: 2420.0 | Tempo Decorrido: 0.0229s
Ciclo 0040 | Temp:   15.02 | Melhor Custo: 2420.0 | Tempo Decorrido: 0.0278s
Ciclo 0045 | Temp:    6.67 | Melhor Custo: 2141.0 | Tempo Decorrido: 0.0299s
Ciclo 0050 | Temp:    2.96 | Melhor Custo: 2036.0 | Tempo Decorrido: 0.0336s
Ciclo 0055 | Temp:    1.31 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0362s
