Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5447.0 | Tempo Decorrido: 0.0011s
Ciclo 0005 | Temp: 4437.05 | Melhor Custo: 4641.0 | Tempo Decorrido: 0.0041s
Ciclo 0010 | Temp: 1968.74 | Melhor Custo: 4440.0 | Tempo Decorrido: 0.0078s
Ciclo 0015 | Temp:  873.54 | Melhor Custo: 4440.0 | Tempo Decorrido: 0.0113s
Ciclo 0020 | Temp:  387.60 | Melhor Custo: 4379.0 | Tempo Decorrido: 0.0133s
Ciclo 0025 | Temp:  171.98 | Melhor Custo: 4379.0 | Tempo Decorrido: 0.0171s
Ciclo 0030 | Temp:   76.31 | Melhor Custo: 3388.0 | Tempo Decorrido: 0.0202s
Ciclo 0035 | Temp:   33.86 | Melhor Custo: 2777.0 | Tempo Decorrido: 0.0242s
Ciclo 0040 | Temp:   15.02 | Melhor Custo: 2194.0 | Tempo Decorrido: 0.0264s
Ciclo 0045 | Temp:    6.67 | Melhor Custo: 2043.0 | Tempo Decorrido: 0.0304s
Ciclo 0050 | Temp:    2.96 | Melhor Custo: 2033.0 | Tempo Decorrido: 0.0334s
Ciclo 0055 | Temp:    1.31 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0371s
