Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5249.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 4437.05 | Melhor Custo: 4802.0 | Tempo Decorrido: 0.0041s
Ciclo 0010 | Temp: 1968.74 | Melhor Custo: 4784.0 | Tempo Decorrido: 0.0071s
Ciclo 0015 | Temp:  873.54 | Melhor Custo: 4572.0 | Tempo Decorrido: 0.0101s
Ciclo 0020 | Temp:  387.60 | Melhor Custo: 4191.0 | Tempo Decorrido: 0.0138s
Ciclo 0025 | Temp:  171.98 | Melhor Custo: 4191.0 | Tempo Decorrido: 0.0168s
Ciclo 0030 | Temp:   76.31 | Melhor Custo: 3629.0 | Tempo Decorrido: 0.0200s
Ciclo 0035 | Temp:   33.86 | Melhor Custo: 2696.0 | Tempo Decorrido: 0.0229s
Ciclo 0040 | Temp:   15.02 | Melhor Custo: 2353.0 | Tempo Decorrido: 0.0260s
Ciclo 0045 | Temp:    6.67 | Melhor Custo: 2115.0 | Tempo Decorrido: 0.0308s
Ciclo 0050 | Temp:    2.96 | Melhor Custo: 2092.0 | Tempo Decorrido: 0.0329s
Ciclo 0055 | Temp:    1.31 | Melhor Custo: 2092.0 | Tempo Decorrido: 0.0373s
