Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5004.0 | Tempo Decorrido: 0.0020s
Ciclo 0005 | Temp: 4437.05 | Melhor Custo: 4708.0 | Tempo Decorrido: 0.0050s
Ciclo 0010 | Temp: 1968.74 | Melhor Custo: 4708.0 | Tempo Decorrido: 0.0086s
Ciclo 0015 | Temp:  873.54 | Melhor Custo: 4225.0 | Tempo Decorrido: 0.0121s
Ciclo 0020 | Temp:  387.60 | Melhor Custo: 4225.0 | Tempo Decorrido: 0.0151s
Ciclo 0025 | Temp:  171.98 | Melhor Custo: 4225.0 | Tempo Decorrido: 0.0182s
Ciclo 0030 | Temp:   76.31 | Melhor Custo: 3119.0 | Tempo Decorrido: 0.0212s
Ciclo 0035 | Temp:   33.86 | Melhor Custo: 2724.0 | Tempo Decorrido: 0.0242s
Ciclo 0040 | Temp:   15.02 | Melhor Custo: 2380.0 | Tempo Decorrido: 0.0272s
Ciclo 0045 | Temp:    6.67 | Melhor Custo: 2125.0 | Tempo Decorrido: 0.0297s
Ciclo 0050 | Temp:    2.96 | Melhor Custo: 2073.0 | Tempo Decorrido: 0.0327s
Ciclo 0055 | Temp:    1.31 | Melhor Custo: 2073.0 | Tempo Decorrido: 0.0357s
