Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 4921.0 | Tempo Decorrido: 0.0010s
Ciclo 0005 | Temp: 4437.05 | Melhor Custo: 4685.0 | Tempo Decorrido: 0.0061s
Ciclo 0010 | Temp: 1968.74 | Melhor Custo: 4685.0 | Tempo Decorrido: 0.0112s
Ciclo 0015 | Temp:  873.54 | Melhor Custo: 4634.0 | Tempo Decorrido: 0.0163s
Ciclo 0020 | Temp:  387.60 | Melhor Custo: 4634.0 | Tempo Decorrido: 0.0205s
Ciclo 0025 | Temp:  171.98 | Melhor Custo: 3877.0 | Tempo Decorrido: 0.0261s
Ciclo 0030 | Temp:   76.31 | Melhor Custo: 3305.0 | Tempo Decorrido: 0.0311s
Ciclo 0035 | Temp:   33.86 | Melhor Custo: 2795.0 | Tempo Decorrido: 0.0354s
Ciclo 0040 | Temp:   15.02 | Melhor Custo: 2451.0 | Tempo Decorrido: 0.0393s
Ciclo 0045 | Temp:    6.67 | Melhor Custo: 2074.0 | Tempo Decorrido: 0.0440s
Ciclo 0050 | Temp:    2.96 | Melhor Custo: 2074.0 | Tempo Decorrido: 0.0480s
Ciclo 0055 | Temp:    1.31 | Melhor Custo: 2074.0 | Tempo Decorrido: 0.0511s
