Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 4934.0 | Tempo Decorrido: 0.0005s
Ciclo 0001 | Temp: 8500.00 | Melhor Custo: 4934.0 | Tempo Decorrido: 0.0012s
Ciclo 0002 | Temp: 7225.00 | Melhor Custo: 4934.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 6141.25 | Melhor Custo: 4934.0 | Tempo Decorrido: 0.0022s
Ciclo 0004 | Temp: 5220.06 | Melhor Custo: 4908.0 | Tempo Decorrido: 0.0028s
Ciclo 0005 | Temp: 4437.05 | Melhor Custo: 4908.0 | Tempo Decorrido: 0.0033s
Ciclo 0006 | Temp: 3771.50 | Melhor Custo: 4908.0 | Tempo Decorrido: 0.0039s
Ciclo 0007 | Temp: 3205.77 | Melhor Custo: 4908.0 | Tempo Decorrido: 0.0044s
Ciclo 0008 | Temp: 2724.91 | Melhor Custo: 4801.0 | Tempo Decorrido: 0.0050s
Ciclo 0009 | Temp: 2316.17 | Melhor Custo: 4801.0 | Tempo Decorrido: 0.0055s
Ciclo 0010 | Temp: 1968.74 | Melhor Custo: 4801.0 | Tempo Decorrido: 0.0061s
Ciclo 0011 | Temp: 1673.43 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0066s
Ciclo 0012 | Temp: 1422.42 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0074s
Ciclo 0013 | Temp: 1209.05 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0080s
Ciclo 0014 | Temp: 1027.70 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0086s
Ciclo 0015 | Temp:  873.54 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0091s
Ciclo 0016 | Temp:  742.51 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0096s
Ciclo 0017 | Temp:  631.13 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0101s
Ciclo 0018 | Temp:  536.46 | Melhor Custo: 4714.0 | Tempo Decorrido: 0.0107s
Ciclo 0019 | Temp:  455.99 | Melhor Custo: 4380.0 | Tempo Decorrido: 0.0112s
Ciclo 0020 | Temp:  387.60 | Melhor Custo: 4380.0 | Tempo Decorrido: 0.0118s
Ciclo 0021 | Temp:  329.46 | Melhor Custo: 4380.0 | Tempo Decorrido: 0.0123s
Ciclo 0022 | Temp:  280.04 | Melhor Custo: 4380.0 | Tempo Decorrido: 0.0129s
Ciclo 0023 | Temp:  238.03 | Melhor Custo: 4380.0 | Tempo Decorrido: 0.0134s
Ciclo 0024 | Temp:  202.33 | Melhor Custo: 4001.0 | Tempo Decorrido: 0.0139s
Ciclo 0025 | Temp:  171.98 | Melhor Custo: 4001.0 | Tempo Decorrido: 0.0145s
Ciclo 0026 | Temp:  146.18 | Melhor Custo: 4001.0 | Tempo Decorrido: 0.0150s
Ciclo 0027 | Temp:  124.25 | Melhor Custo: 3957.0 | Tempo Decorrido: 0.0156s
Ciclo 0028 | Temp:  105.62 | Melhor Custo: 3957.0 | Tempo Decorrido: 0.0161s
Ciclo 0029 | Temp:   89.77 | Melhor Custo: 3957.0 | Tempo Decorrido: 0.0167s
Ciclo 0030 | Temp:   76.31 | Melhor Custo: 3599.0 | Tempo Decorrido: 0.0172s
Ciclo 0031 | Temp:   64.86 | Melhor Custo: 3528.0 | Tempo Decorrido: 0.0177s
Ciclo 0032 | Temp:   55.13 | Melhor Custo: 3052.0 | Tempo Decorrido: 0.0183s
Ciclo 0033 | Temp:   46.86 | Melhor Custo: 2920.0 | Tempo Decorrido: 0.0189s
Ciclo 0034 | Temp:   39.83 | Melhor Custo: 2920.0 | Tempo Decorrido: 0.0194s
Ciclo 0035 | Temp:   33.86 | Melhor Custo: 2764.0 | Tempo Decorrido: 0.0200s
Ciclo 0036 | Temp:   28.78 | Melhor Custo: 2666.0 | Tempo Decorrido: 0.0206s
Ciclo 0037 | Temp:   24.46 | Melhor Custo: 2556.0 | Tempo Decorrido: 0.0211s
Ciclo 0038 | Temp:   20.79 | Melhor Custo: 2387.0 | Tempo Decorrido: 0.0217s
Ciclo 0039 | Temp:   17.67 | Melhor Custo: 2387.0 | Tempo Decorrido: 0.0223s
Ciclo 0040 | Temp:   15.02 | Melhor Custo: 2273.0 | Tempo Decorrido: 0.0229s
Ciclo 0041 | Temp:   12.77 | Melhor Custo: 2193.0 | Tempo Decorrido: 0.0235s
Ciclo 0042 | Temp:   10.85 | Melhor Custo: 2180.0 | Tempo Decorrido: 0.0240s
Ciclo 0043 | Temp:    9.23 | Melhor Custo: 2171.0 | Tempo Decorrido: 0.0246s
Ciclo 0044 | Temp:    7.84 | Melhor Custo: 2171.0 | Tempo Decorrido: 0.0251s
Ciclo 0045 | Temp:    6.67 | Melhor Custo: 2161.0 | Tempo Decorrido: 0.0257s
Ciclo 0046 | Temp:    5.67 | Melhor Custo: 2156.0 | Tempo Decorrido: 0.0262s
