Ciclo 0060 | Temp:  460.70 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0422s
Ciclo 0061 | Temp:  437.66 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0428s
Ciclo 0062 | Temp:  415.78 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0434s
Ciclo 0063 | Temp:  394.99 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0439s
Ciclo 0064 | Temp:  375.24 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0444s
Ciclo 0065 | Temp:  356.48 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0449s
Ciclo 0066 | Temp:  338.66 | Melhor Custo: 4247.0 | Tempo Decorrido: 0.0455s
Ciclo 0067 | Temp:  321.72 | Melhor Custo: 4206.0 | Tempo Decorrido: 0.0460s
Ciclo 0068 | Temp:  305.64 | Melhor Custo: 4206.0 | Tempo Decorrido: 0.0465s
Ciclo 0069 | Temp:  290.35 | Melhor Custo: 4206.0 | Tempo Decorrido: 0.0470s
Ciclo 0070 | Temp:  275.84 | Melhor Custo: 4206.0 | Tempo Decorrido: 0.0476s
Ciclo 0071 | Temp:  262.05 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0481s
Ciclo 0072 | Temp:  248.94 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0486s
Ciclo 0073 | Temp:  236.50 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0492s
Ciclo 0074 | Temp:  224.67 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0497s
Ciclo 0075 | Temp:  213.44 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0502s
Ciclo 0076 | Temp:  202.77 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0507s
Ciclo 0077 | Temp:  192.63 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0512s
Ciclo 0078 | Temp:  183.00 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0517s
Ciclo 0079 | Temp:  173.85 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0522s
Ciclo 0080 | Temp:  165.15 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0527s
Ciclo 0081 | Temp:  156.90 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0533s
Ciclo 0082 | Temp:  149.05 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0538s
Ciclo 0083 | Temp:  141.60 | Melhor Custo: 4057.0 | Tempo Decorrido: 0.0547s
Ciclo 0084 | Temp:  134.52 | Melhor Custo: 3680.0 | Tempo Decorrido: 0.0552s
Ciclo 0085 | Temp:  127.79 | Melhor Custo: 3680.0 | Tempo Decorrido: 0.0558s
Ciclo 0086 | Temp:  121.40 | Melhor Custo: 3680.0 | Tempo Decorrido: 0.0564s
Ciclo 0087 | Temp:  115.33 | Melhor Custo: 3680.0 | Tempo Decorrido: 0.0569s
Ciclo 0088 | Temp:  109.57 | Melhor Custo: 3680.0 | Tempo Decorrido: 0.0575s
Ciclo 0089 | Temp:  104.09 | Melhor Custo: 3680.0 | Tempo Decorrido: 0.0580s
Ciclo 0090 | Temp:   98.88 | Melhor Custo: 3609.0 | Tempo Decorrido: 0.0586s
Ciclo 0091 | Temp:   93.94 | Melhor Custo: 3609.0 | Tempo Decorrido: 0.0591s
Ciclo 0092 | Temp:   89.24 | Melhor Custo: 3609.0 | Tempo Decorrido: 0.0596s
Ciclo 0093 | Temp:   84.78 | Melhor Custo: 3609.0 | Tempo Decorrido: 0.0601s
Ciclo 0094 | Temp:   80.54 | Melhor Custo: 3609.0 | Tempo Decorrido: 0.0608s
Ciclo 0095 | Temp:   76.51 | Melhor Custo: 3609.0 | Tempo Decorrido: 0.0614s
Ciclo 0096 | Temp:   72.69 | Melhor Custo: 3256.0 | Tempo Decorrido: 0.0619s
Ciclo 0097 | Temp:   69.05 | Melhor Custo: 3256.0 | Tempo Decorrido: 0.0624s
Ciclo 0098 | Temp:   65.60 | Melhor Custo: 3256.0 | Tempo Decorrido: 0.0629s
Ciclo 0099 | Temp:   62.32 | Melhor Custo: 2571.0 | Tempo Decorrido: 0.0635s
Ciclo 0100 | Temp:   59.21 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0641s
Ciclo 0101 | Temp:   56.25 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0646s
Ciclo 0102 | Temp:   53.43 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0652s
Ciclo 0103 | Temp:   50.76 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0657s
Ciclo 0104 | Temp:   48.22 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0661s
Ciclo 0105 | Temp:   45.81 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0666s
Ciclo 0106 | Temp:   43.52 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0673s
Ciclo 0107 | Temp:   41.35 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0678s
Ciclo 0108 | Temp:   39.28 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0687s
Ciclo 0109 | Temp:   37.31 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0694s
Ciclo 0110 | Temp:   35.45 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0700s
Ciclo 0111 | Temp:   33.68 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0706s
Ciclo 0112 | Temp:   31.99 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0711s
Ciclo 0113 | Temp:   30.39 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0717s
Ciclo 0114 | Temp:   28.87 | Melhor Custo: 2426.0 | Tempo Decorrido: 0.0722s
Ciclo 0115 | Temp:   27.43 | Melhor Custo: 2356.0 | Tempo Decorrido: 0.0727s
Ciclo 0116 | Temp:   26.06 | Melhor Custo: 2356.0 | Tempo Decorrido: 0.0733s
Ciclo 0117 | Temp:   24.75 | Melhor Custo: 2356.0 | Tempo Decorrido: 0.0738s
Ciclo 0118 | Temp:   23.52 | Melhor Custo: 2356.0 | Tempo Decorrido: 0.0744s
Ciclo 0119 | Temp:   22.34 | Melhor Custo: 2356.0 | Tempo Decorrido: 0.0750s
Ciclo 0120 | Temp:   21.22 | Melhor Custo: 2314.0 | Tempo Decorrido: 0.0756s
Ciclo 0121 | Temp:   20.16 | Melhor Custo: 2212.0 | Tempo Decorrido: 0.0761s
Ciclo 0122 | Temp:   19.15 | Melhor Custo: 2212.0 | Tempo Decorrido: 0.0767s
Ciclo 0123 | Temp:   18.20 | Melhor Custo: 2125.0 | Tempo Decorrido: 0.0772s
Ciclo 0124 | Temp:   17.29 | Melhor Custo: 2115.0 | Tempo Decorrido: 0.0778s
Ciclo 0125 | Temp:   16.42 | Melhor Custo: 2115.0 | Tempo Decorrido: 0.0783s
