Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5324.0 | Tempo Decorrido: 0.0006s
Ciclo 0001 | Temp: 9500.00 | Melhor Custo: 5324.0 | Tempo Decorrido: 0.0012s
Ciclo 0002 | Temp: 9025.00 | Melhor Custo: 5286.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 8573.75 | Melhor Custo: 5052.0 | Tempo Decorrido: 0.0023s
Ciclo 0004 | Temp: 8145.06 | Melhor Custo: 5052.0 | Tempo Decorrido: 0.0028s
Ciclo 0005 | Temp: 7737.81 | Melhor Custo: 5052.0 | Tempo Decorrido: 0.0033s
Ciclo 0006 | Temp: 7350.92 | Melhor Custo: 4956.0 | Tempo Decorrido: 0.0039s
Ciclo 0007 | Temp: 6983.37 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0044s
Ciclo 0008 | Temp: 6634.20 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0050s
Ciclo 0009 | Temp: 6302.49 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0056s
Ciclo 0010 | Temp: 5987.37 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0061s
Ciclo 0011 | Temp: 5688.00 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0067s
Ciclo 0012 | Temp: 5403.60 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0072s
Ciclo 0013 | Temp: 5133.42 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0078s
Ciclo 0014 | Temp: 4876.75 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0083s
Ciclo 0015 | Temp: 4632.91 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0089s
Ciclo 0016 | Temp: 4401.27 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0094s
Ciclo 0017 | Temp: 4181.20 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0099s
Ciclo 0018 | Temp: 3972.14 | Melhor Custo: 4620.0 | Tempo Decorrido: 0.0105s
