Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5354.0 | Tempo Decorrido: 0.0005s
Ciclo 0001 | Temp: 9500.00 | Melhor Custo: 5354.0 | Tempo Decorrido: 0.0011s
Ciclo 0002 | Temp: 9025.00 | Melhor Custo: 5225.0 | Tempo Decorrido: 0.0018s
Ciclo 0003 | Temp: 8573.75 | Melhor Custo: 5225.0 | Tempo Decorrido: 0.0023s
Ciclo 0004 | Temp: 8145.06 | Melhor Custo: 5225.0 | Tempo Decorrido: 0.0029s
Ciclo 0005 | Temp: 7737.81 | Melhor Custo: 5225.0 | Tempo Decorrido: 0.0034s
Ciclo 0006 | Temp: 7350.92 | Melhor Custo: 5225.0 | Tempo Decorrido: 0.0039s
Ciclo 0007 | Temp: 6983.37 | Melhor Custo: 4995.0 | Tempo Decorrido: 0.0045s
Ciclo 0008 | Temp: 6634.20 | Melhor Custo: 4823.0 | Tempo Decorrido: 0.0050s
Ciclo 0009 | Temp: 6302.49 | Melhor Custo: 4813.0 | Tempo Decorrido: 0.0054s
Ciclo 0010 | Temp: 5987.37 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0060s
Ciclo 0011 | Temp: 5688.00 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0069s
Ciclo 0012 | Temp: 5403.60 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0076s
Ciclo 0013 | Temp: 5133.42 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0081s
Ciclo 0014 | Temp: 4876.75 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0087s
Ciclo 0015 | Temp: 4632.91 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0092s
Ciclo 0016 | Temp: 4401.27 | Melhor Custo: 4534.0 | Tempo Decorrido: 0.0097s
Ciclo 0017 | Temp: 4181.20 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0103s
Ciclo 0018 | Temp: 3972.14 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0111s
Ciclo 0019 | Temp: 3773.54 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0116s
Ciclo 0020 | Temp: 3584.86 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0122s
Ciclo 0021 | Temp: 3405.62 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0127s
Ciclo 0022 | Temp: 3235.34 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0132s
Ciclo 0023 | Temp: 3073.57 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0137s
Ciclo 0024 | Temp: 2919.89 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0142s
Ciclo 0025 | Temp: 2773.90 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0147s
Ciclo 0026 | Temp: 2635.20 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0152s
Ciclo 0027 | Temp: 2503.44 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0158s
Ciclo 0028 | Temp: 2378.27 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0163s
Ciclo 0029 | Temp: 2259.36 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0168s
Ciclo 0030 | Temp: 2146.39 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0174s
Ciclo 0031 | Temp: 2039.07 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0181s
Ciclo 0032 | Temp: 1937.11 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0187s
Ciclo 0033 | Temp: 1840.26 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0192s
Ciclo 0034 | Temp: 1748.25 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0197s
Ciclo 0035 | Temp: 1660.83 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0202s
Ciclo 0036 | Temp: 1577.79 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0207s
Ciclo 0037 | Temp: 1498.90 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0212s
Ciclo 0038 | Temp: 1423.96 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0217s
Ciclo 0039 | Temp: 1352.76 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0222s
Ciclo 0040 | Temp: 1285.12 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0227s
Ciclo 0041 | Temp: 1220.87 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0231s
Ciclo 0042 | Temp: 1159.82 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0236s
Ciclo 0043 | Temp: 1101.83 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0241s
Ciclo 0044 | Temp: 1046.74 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0249s
Ciclo 0045 | Temp:  994.40 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0256s
Ciclo 0046 | Temp:  944.68 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0261s
Ciclo 0047 | Temp:  897.45 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0267s
Ciclo 0048 | Temp:  852.58 | Melhor Custo: 4518.0 | Tempo Decorrido: 0.0273s
Ciclo 0049 | Temp:  809.95 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0278s
Ciclo 0050 | Temp:  769.45 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0283s
Ciclo 0051 | Temp:  730.98 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0288s
Ciclo 0052 | Temp:  694.43 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0294s
Ciclo 0053 | Temp:  659.71 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0299s
Ciclo 0054 | Temp:  626.72 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0304s
Ciclo 0055 | Temp:  595.39 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0309s
Ciclo 0056 | Temp:  565.62 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0315s
Ciclo 0057 | Temp:  537.34 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0323s
Ciclo 0058 | Temp:  510.47 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0328s
Ciclo 0059 | Temp:  484.95 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0334s
Ciclo 0060 | Temp:  460.70 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0339s
Ciclo 0061 | Temp:  437.66 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0345s
Ciclo 0062 | Temp:  415.78 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0350s
Ciclo 0063 | Temp:  394.99 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0355s
Ciclo 0064 | Temp:  375.24 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0360s
Ciclo 0065 | Temp:  356.48 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0365s
Ciclo 0066 | Temp:  338.66 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0371s
Ciclo 0067 | Temp:  321.72 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0377s
Ciclo 0068 | Temp:  305.64 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0384s
Ciclo 0069 | Temp:  290.35 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0391s
Ciclo 0070 | Temp:  275.84 | Melhor Custo: 4417.0 | Tempo Decorrido: 0.0396s
Ciclo 0071 | Temp:  262.05 | Melhor Custo: 4304.0 | Tempo Decorrido: 0.0401s
Ciclo 0072 | Temp:  248.94 | Melhor Custo: 4304.0 | Tempo Decorrido: 0.0406s
Ciclo 0073 | Temp:  236.50 | Melhor Custo: 4304.0 | Tempo Decorrido: 0.0411s
Ciclo 0074 | Temp:  224.67 | Melhor Custo: 4304.0 | Tempo Decorrido: 0.0416s
Ciclo 0075 | Temp:  213.44 | Melhor Custo: 4176.0 | Tempo Decorrido: 0.0421s
Ciclo 0076 | Temp:  202.77 | Melhor Custo: 4176.0 | Tempo Decorrido: 0.0426s
Ciclo 0077 | Temp:  192.63 | Melhor Custo: 4176.0 | Tempo Decorrido: 0.0431s
Ciclo 0078 | Temp:  183.00 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0436s
Ciclo 0079 | Temp:  173.85 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0441s
Ciclo 0080 | Temp:  165.15 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0447s
Ciclo 0081 | Temp:  156.90 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0452s
Ciclo 0082 | Temp:  149.05 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0458s
Ciclo 0083 | Temp:  141.60 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0464s
Ciclo 0084 | Temp:  134.52 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0469s
Ciclo 0085 | Temp:  127.79 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0474s
Ciclo 0086 | Temp:  121.40 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0480s
Ciclo 0087 | Temp:  115.33 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0485s
Ciclo 0088 | Temp:  109.57 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0490s
Ciclo 0089 | Temp:  104.09 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0495s
Ciclo 0090 | Temp:   98.88 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0501s
Ciclo 0091 | Temp:   93.94 | Melhor Custo: 3501.0 | Tempo Decorrido: 0.0506s
Ciclo 0092 | Temp:   89.24 | Melhor Custo: 3491.0 | Tempo Decorrido: 0.0512s
Ciclo 0093 | Temp:   84.78 | Melhor Custo: 3491.0 | Tempo Decorrido: 0.0517s
Ciclo 0094 | Temp:   80.54 | Melhor Custo: 3415.0 | Tempo Decorrido: 0.0525s
Ciclo 0095 | Temp:   76.51 | Melhor Custo: 3415.0 | Tempo Decorrido: 0.0532s
Ciclo 0096 | Temp:   72.69 | Melhor Custo: 3415.0 | Tempo Decorrido: 0.0538s
Ciclo 0097 | Temp:   69.05 | Melhor Custo: 3415.0 | Tempo Decorrido: 0.0543s
Ciclo 0098 | Temp:   65.60 | Melhor Custo: 3237.0 | Tempo Decorrido: 0.0549s
Ciclo 0099 | Temp:   62.32 | Melhor Custo: 3237.0 | Tempo Decorrido: 0.0554s
Ciclo 0100 | Temp:   59.21 | Melhor Custo: 2906.0 | Tempo Decorrido: 0.0560s
Ciclo 0101 | Temp:   56.25 | Melhor Custo: 2816.0 | Tempo Decorrido: 0.0565s
Ciclo 0102 | Temp:   53.43 | Melhor Custo: 2702.0 | Tempo Decorrido: 0.0571s
Ciclo 0103 | Temp:   50.76 | Melhor Custo: 2654.0 | Tempo Decorrido: 0.0576s
Ciclo 0104 | Temp:   48.22 | Melhor Custo: 2654.0 | Tempo Decorrido: 0.0581s
Ciclo 0105 | Temp:   45.81 | Melhor Custo: 2654.0 | Tempo Decorrido: 0.0587s
Ciclo 0106 | Temp:   43.52 | Melhor Custo: 2624.0 | Tempo Decorrido: 0.0593s
