Ciclo 0000 | Temp: 2000.00 | Melhor Custo: 5439.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 1547.56 | Melhor Custo: 4957.0 | Tempo Decorrido: 0.0020s
Ciclo 0010 | Temp: 1197.47 | Melhor Custo: 4767.0 | Tempo Decorrido: 0.0040s
Ciclo 0015 | Temp:  926.58 | Melhor Custo: 4383.0 | Tempo Decorrido: 0.0040s
Ciclo 0020 | Temp:  716.97 | Melhor Custo: 4383.0 | Tempo Decorrido: 0.0066s
Ciclo 0025 | Temp:  554.78 | Melhor Custo: 4383.0 | Tempo Decorrido: 0.0076s
Ciclo 0030 | Temp:  429.28 | Melhor Custo: 4129.0 | Tempo Decorrido: 0.0086s
Ciclo 0035 | Temp:  332.17 | Melhor Custo: 4129.0 | Tempo Decorrido: 0.0106s
Ciclo 0040 | Temp:  257.02 | Melhor Custo: 4083.0 | Tempo Decorrido: 0.0116s
Ciclo 0045 | Temp:  198.88 | Melhor Custo: 4083.0 | Tempo Decorrido: 0.0127s
Ciclo 0050 | Temp:  153.89 | Melhor Custo: 3792.0 | Tempo Decorrido: 0.0136s
Ciclo 0055 | Temp:  119.08 | Melhor Custo: 3789.0 | Tempo Decorrido: 0.0156s
Ciclo 0060 | Temp:   92.14 | Melhor Custo: 3524.0 | Tempo Decorrido: 0.0170s
Ciclo 0065 | Temp:   71.30 | Melhor Custo: 3476.0 | Tempo Decorrido: 0.0200s
Ciclo 0070 | Temp:   55.17 | Melhor Custo: 3190.0 | Tempo Decorrido: 0.0220s
Ciclo 0075 | Temp:   42.69 | Melhor Custo: 2931.0 | Tempo Decorrido: 0.0230s
Ciclo 0080 | Temp:   33.03 | Melhor Custo: 2678.0 | Tempo Decorrido: 0.0240s
Ciclo 0085 | Temp:   25.56 | Melhor Custo: 2497.0 | Tempo Decorrido: 0.0255s
Ciclo 0090 | Temp:   19.78 | Melhor Custo: 2367.0 | Tempo Decorrido: 0.0275s
Ciclo 0095 | Temp:   15.30 | Melhor Custo: 2240.0 | Tempo Decorrido: 0.0285s
Ciclo 0100 | Temp:   11.84 | Melhor Custo: 2127.0 | Tempo Decorrido: 0.0305s
Ciclo 0105 | Temp:    9.16 | Melhor Custo: 2055.0 | Tempo Decorrido: 0.0315s
Ciclo 0110 | Temp:    7.09 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0338s
Ciclo 0115 | Temp:    5.49 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0369s
Ciclo 0120 | Temp:    4.24 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0389s
Ciclo 0125 | Temp:    3.28 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0399s
Ciclo 0130 | Temp:    2.54 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0420s
Ciclo 0135 | Temp:    1.97 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0430s
Ciclo 0140 | Temp:    1.52 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0450s
Ciclo 0145 | Temp:    1.18 | Melhor Custo: 2028.0 | Tempo Decorrido: 0.0465s
