Ciclo 0000 | Temp: 2000.00 | Melhor Custo: 5389.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 1547.56 | Melhor Custo: 4493.0 | Tempo Decorrido: 0.0020s
Ciclo 0010 | Temp: 1197.47 | Melhor Custo: 4493.0 | Tempo Decorrido: 0.0045s
Ciclo 0015 | Temp:  926.58 | Melhor Custo: 4493.0 | Tempo Decorrido: 0.0055s
Ciclo 0020 | Temp:  716.97 | Melhor Custo: 4264.0 | Tempo Decorrido: 0.0081s
Ciclo 0025 | Temp:  554.78 | Melhor Custo: 4264.0 | Tempo Decorrido: 0.0091s
Ciclo 0030 | Temp:  429.28 | Melhor Custo: 4264.0 | Tempo Decorrido: 0.0114s
Ciclo 0035 | Temp:  332.17 | Melhor Custo: 4264.0 | Tempo Decorrido: 0.0123s
Ciclo 0040 | Temp:  257.02 | Melhor Custo: 3884.0 | Tempo Decorrido: 0.0133s
Ciclo 0045 | Temp:  198.88 | Melhor Custo: 3884.0 | Tempo Decorrido: 0.0153s
Ciclo 0050 | Temp:  153.89 | Melhor Custo: 3884.0 | Tempo Decorrido: 0.0163s
Ciclo 0055 | Temp:  119.08 | Melhor Custo: 3884.0 | Tempo Decorrido: 0.0183s
Ciclo 0060 | Temp:   92.14 | Melhor Custo: 3884.0 | Tempo Decorrido: 0.0193s
Ciclo 0065 | Temp:   71.30 | Melhor Custo: 3313.0 | Tempo Decorrido: 0.0227s
Ciclo 0070 | Temp:   55.17 | Melhor Custo: 3191.0 | Tempo Decorrido: 0.0242s
Ciclo 0075 | Temp:   42.69 | Melhor Custo: 2599.0 | Tempo Decorrido: 0.0264s
Ciclo 0080 | Temp:   33.03 | Melhor Custo: 2558.0 | Tempo Decorrido: 0.0274s
Ciclo 0085 | Temp:   25.56 | Melhor Custo: 2315.0 | Tempo Decorrido: 0.0283s
Ciclo 0090 | Temp:   19.78 | Melhor Custo: 2290.0 | Tempo Decorrido: 0.0303s
Ciclo 0095 | Temp:   15.30 | Melhor Custo: 2290.0 | Tempo Decorrido: 0.0312s
Ciclo 0100 | Temp:   11.84 | Melhor Custo: 2257.0 | Tempo Decorrido: 0.0325s
Ciclo 0105 | Temp:    9.16 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0351s
Ciclo 0110 | Temp:    7.09 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0390s
Ciclo 0115 | Temp:    5.49 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0410s
Ciclo 0120 | Temp:    4.24 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0430s
Ciclo 0125 | Temp:    3.28 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0445s
Ciclo 0130 | Temp:    2.54 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0456s
Ciclo 0135 | Temp:    1.97 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0481s
Ciclo 0140 | Temp:    1.52 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0507s
Ciclo 0145 | Temp:    1.18 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.0530s
