Ciclo 0000 | Temp: 2000.00 | Melhor Custo: 4944.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 1547.56 | Melhor Custo: 4790.0 | Tempo Decorrido: 0.0025s
Ciclo 0010 | Temp: 1197.47 | Melhor Custo: 4612.0 | Tempo Decorrido: 0.0045s
Ciclo 0015 | Temp:  926.58 | Melhor Custo: 4612.0 | Tempo Decorrido: 0.0065s
Ciclo 0020 | Temp:  716.97 | Melhor Custo: 4612.0 | Tempo Decorrido: 0.0075s
Ciclo 0025 | Temp:  554.78 | Melhor Custo: 4612.0 | Tempo Decorrido: 0.0090s
Ciclo 0030 | Temp:  429.28 | Melhor Custo: 4612.0 | Tempo Decorrido: 0.0101s
Ciclo 0035 | Temp:  332.17 | Melhor Custo: 4454.0 | Tempo Decorrido: 0.0116s
Ciclo 0040 | Temp:  257.02 | Melhor Custo: 4096.0 | Tempo Decorrido: 0.0126s
Ciclo 0045 | Temp:  198.88 | Melhor Custo: 3965.0 | Tempo Decorrido: 0.0146s
Ciclo 0050 | Temp:  153.89 | Melhor Custo: 3965.0 | Tempo Decorrido: 0.0168s
Ciclo 0055 | Temp:  119.08 | Melhor Custo: 3965.0 | Tempo Decorrido: 0.0178s
Ciclo 0060 | Temp:   92.14 | Melhor Custo: 3965.0 | Tempo Decorrido: 0.0193s
Ciclo 0065 | Temp:   71.30 | Melhor Custo: 3205.0 | Tempo Decorrido: 0.0204s
Ciclo 0070 | Temp:   55.17 | Melhor Custo: 3189.0 | Tempo Decorrido: 0.0220s
Ciclo 0075 | Temp:   42.69 | Melhor Custo: 2781.0 | Tempo Decorrido: 0.0231s
Ciclo 0080 | Temp:   33.03 | Melhor Custo: 2558.0 | Tempo Decorrido: 0.0240s
Ciclo 0085 | Temp:   25.56 | Melhor Custo: 2463.0 | Tempo Decorrido: 0.0250s
Ciclo 0090 | Temp:   19.78 | Melhor Custo: 2332.0 | Tempo Decorrido: 0.0271s
Ciclo 0095 | Temp:   15.30 | Melhor Custo: 2286.0 | Tempo Decorrido: 0.0271s
Ciclo 0100 | Temp:   11.84 | Melhor Custo: 2170.0 | Tempo Decorrido: 0.0297s
Ciclo 0105 | Temp:    9.16 | Melhor Custo: 2093.0 | Tempo Decorrido: 0.0307s
Ciclo 0110 | Temp:    7.09 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0328s
Ciclo 0115 | Temp:    5.49 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0338s
Ciclo 0120 | Temp:    4.24 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0347s
Ciclo 0125 | Temp:    3.28 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0371s
Ciclo 0130 | Temp:    2.54 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0386s
Ciclo 0135 | Temp:    1.97 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0396s
Ciclo 0140 | Temp:    1.52 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0406s
Ciclo 0145 | Temp:    1.18 | Melhor Custo: 2071.0 | Tempo Decorrido: 0.0416s
