Ciclo 0000 | Temp: 2000.00 | Melhor Custo: 5087.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 1547.56 | Melhor Custo: 4834.0 | Tempo Decorrido: 0.0010s
Ciclo 0010 | Temp: 1197.47 | Melhor Custo: 4834.0 | Tempo Decorrido: 0.0030s
Ciclo 0015 | Temp:  926.58 | Melhor Custo: 4834.0 | Tempo Decorrido: 0.0040s
Ciclo 0020 | Temp:  716.97 | Melhor Custo: 4834.0 | Tempo Decorrido: 0.0056s
Ciclo 0025 | Temp:  554.78 | Melhor Custo: 4687.0 | Tempo Decorrido: 0.0076s
Ciclo 0030 | Temp:  429.28 | Melhor Custo: 4687.0 | Tempo Decorrido: 0.0086s
Ciclo 0035 | Temp:  332.17 | Melhor Custo: 4185.0 | Tempo Decorrido: 0.0096s
Ciclo 0040 | Temp:  257.02 | Melhor Custo: 4185.0 | Tempo Decorrido: 0.0116s
Ciclo 0045 | Temp:  198.88 | Melhor Custo: 3908.0 | Tempo Decorrido: 0.0126s
Ciclo 0050 | Temp:  153.89 | Melhor Custo: 3723.0 | Tempo Decorrido: 0.0147s
Ciclo 0055 | Temp:  119.08 | Melhor Custo: 3723.0 | Tempo Decorrido: 0.0157s
Ciclo 0060 | Temp:   92.14 | Melhor Custo: 3643.0 | Tempo Decorrido: 0.0173s
Ciclo 0065 | Temp:   71.30 | Melhor Custo: 3260.0 | Tempo Decorrido: 0.0173s
Ciclo 0070 | Temp:   55.17 | Melhor Custo: 3260.0 | Tempo Decorrido: 0.0199s
Ciclo 0075 | Temp:   42.69 | Melhor Custo: 2732.0 | Tempo Decorrido: 0.0208s
Ciclo 0080 | Temp:   33.03 | Melhor Custo: 2559.0 | Tempo Decorrido: 0.0228s
Ciclo 0085 | Temp:   25.56 | Melhor Custo: 2559.0 | Tempo Decorrido: 0.0238s
Ciclo 0090 | Temp:   19.78 | Melhor Custo: 2411.0 | Tempo Decorrido: 0.0248s
Ciclo 0095 | Temp:   15.30 | Melhor Custo: 2350.0 | Tempo Decorrido: 0.0272s
Ciclo 0100 | Temp:   11.84 | Melhor Custo: 2277.0 | Tempo Decorrido: 0.0287s
Ciclo 0105 | Temp:    9.16 | Melhor Custo: 2174.0 | Tempo Decorrido: 0.0298s
Ciclo 0110 | Temp:    7.09 | Melhor Custo: 2174.0 | Tempo Decorrido: 0.0318s
Ciclo 0115 | Temp:    5.49 | Melhor Custo: 2090.0 | Tempo Decorrido: 0.0332s
Ciclo 0120 | Temp:    4.24 | Melhor Custo: 2090.0 | Tempo Decorrido: 0.0341s
Ciclo 0125 | Temp:    3.28 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0366s
Ciclo 0130 | Temp:    2.54 | Melhor Custo: 2070.0 | Tempo Decorrido: 0.0376s
Ciclo 0135 | Temp:    1.97 | Melhor Custo: 2045.0 | Tempo Decorrido: 0.0398s
Ciclo 0140 | Temp:    1.52 | Melhor Custo: 2045.0 | Tempo Decorrido: 0.0418s
Ciclo 0145 | Temp:    1.18 | Melhor Custo: 2032.0 | Tempo Decorrido: 0.0427s
