Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5111.0 | Tempo Decorrido: 0.0020s
Ciclo 0005 | Temp: 9752.49 | Melhor Custo: 4694.0 | Tempo Decorrido: 0.0090s
Ciclo 0010 | Temp: 9511.10 | Melhor Custo: 4445.0 | Tempo Decorrido: 0.0181s
Ciclo 0015 | Temp: 9275.69 | Melhor Custo: 4445.0 | Tempo Decorrido: 0.0238s
Ciclo 0020 | Temp: 9046.10 | Melhor Custo: 4445.0 | Tempo Decorrido: 0.0302s
Ciclo 0025 | Temp: 8822.20 | Melhor Custo: 4445.0 | Tempo Decorrido: 0.0351s
Ciclo 0030 | Temp: 8603.84 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0418s
Ciclo 0035 | Temp: 8390.89 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0499s
Ciclo 0040 | Temp: 8183.20 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0553s
Ciclo 0045 | Temp: 7980.66 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0598s
Ciclo 0050 | Temp: 7783.13 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0649s
Ciclo 0055 | Temp: 7590.48 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0687s
Ciclo 0060 | Temp: 7402.61 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0721s
Ciclo 0065 | Temp: 7219.39 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0748s
Ciclo 0070 | Temp: 7040.70 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0799s
Ciclo 0075 | Temp: 6866.43 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0839s
Ciclo 0080 | Temp: 6696.48 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0872s
Ciclo 0085 | Temp: 6530.73 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0913s
Ciclo 0090 | Temp: 6369.09 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.0967s
Ciclo 0095 | Temp: 6211.45 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1008s
Ciclo 0100 | Temp: 6057.70 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1048s
Ciclo 0105 | Temp: 5907.77 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1078s
Ciclo 0110 | Temp: 5761.54 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1118s
Ciclo 0115 | Temp: 5618.94 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1155s
Ciclo 0120 | Temp: 5479.86 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1192s
Ciclo 0125 | Temp: 5344.23 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1221s
Ciclo 0130 | Temp: 5211.95 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1256s
Ciclo 0135 | Temp: 5082.95 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1301s
Ciclo 0140 | Temp: 4957.14 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1335s
Ciclo 0145 | Temp: 4834.45 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1370s
Ciclo 0150 | Temp: 4714.79 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1410s
Ciclo 0155 | Temp: 4598.09 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1451s
Ciclo 0160 | Temp: 4484.28 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1478s
Ciclo 0165 | Temp: 4373.29 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1518s
Ciclo 0170 | Temp: 4265.05 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1548s
Ciclo 0175 | Temp: 4159.48 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1586s
Ciclo 0180 | Temp: 4056.53 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1626s
Ciclo 0185 | Temp: 3956.12 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1661s
Ciclo 0190 | Temp: 3858.21 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1697s
Ciclo 0195 | Temp: 3762.71 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1736s
Ciclo 0200 | Temp: 3669.58 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1777s
Ciclo 0205 | Temp: 3578.75 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1817s
Ciclo 0210 | Temp: 3490.17 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1847s
Ciclo 0215 | Temp: 3403.79 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1891s
Ciclo 0220 | Temp: 3319.54 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1931s
Ciclo 0225 | Temp: 3237.38 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.1981s
Ciclo 0230 | Temp: 3157.25 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.2021s
Ciclo 0235 | Temp: 3079.10 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.2064s
Ciclo 0240 | Temp: 3002.89 | Melhor Custo: 4403.0 | Tempo Decorrido: 0.2089s
