Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5405.0 | Tempo Decorrido: 0.0000s
Ciclo 0005 | Temp: 9752.49 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0040s
Ciclo 0010 | Temp: 9511.10 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0072s
Ciclo 0015 | Temp: 9275.69 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0102s
Ciclo 0020 | Temp: 9046.10 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0142s
Ciclo 0025 | Temp: 8822.20 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0179s
Ciclo 0030 | Temp: 8603.84 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0209s
Ciclo 0035 | Temp: 8390.89 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0246s
Ciclo 0040 | Temp: 8183.20 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0281s
Ciclo 0045 | Temp: 7980.66 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0311s
Ciclo 0050 | Temp: 7783.13 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0351s
Ciclo 0055 | Temp: 7590.48 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0378s
Ciclo 0060 | Temp: 7402.61 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0408s
Ciclo 0065 | Temp: 7219.39 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0445s
Ciclo 0070 | Temp: 7040.70 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0484s
Ciclo 0075 | Temp: 6866.43 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0510s
Ciclo 0080 | Temp: 6696.48 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0551s
Ciclo 0085 | Temp: 6530.73 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0587s
Ciclo 0090 | Temp: 6369.09 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0622s
Ciclo 0095 | Temp: 6211.45 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0654s
Ciclo 0100 | Temp: 6057.70 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0699s
Ciclo 0105 | Temp: 5907.77 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0729s
Ciclo 0110 | Temp: 5761.54 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0761s
Ciclo 0115 | Temp: 5618.94 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0799s
Ciclo 0120 | Temp: 5479.86 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0840s
Ciclo 0125 | Temp: 5344.23 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0877s
Ciclo 0130 | Temp: 5211.95 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0912s
Ciclo 0135 | Temp: 5082.95 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0946s
Ciclo 0140 | Temp: 4957.14 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.0986s
Ciclo 0145 | Temp: 4834.45 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.1021s
Ciclo 0150 | Temp: 4714.79 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.1061s
Ciclo 0155 | Temp: 4598.09 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.1101s
Ciclo 0160 | Temp: 4484.28 | Melhor Custo: 4339.0 | Tempo Decorrido: 0.1131s
