Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5066.0 | Tempo Decorrido: 0.0010s
Ciclo 0005 | Temp: 9752.49 | Melhor Custo: 4945.0 | Tempo Decorrido: 0.0046s
Ciclo 0010 | Temp: 9511.10 | Melhor Custo: 4805.0 | Tempo Decorrido: 0.0076s
Ciclo 0015 | Temp: 9275.69 | Melhor Custo: 4805.0 | Tempo Decorrido: 0.0114s
Ciclo 0020 | Temp: 9046.10 | Melhor Custo: 4636.0 | Tempo Decorrido: 0.0152s
Ciclo 0025 | Temp: 8822.20 | Melhor Custo: 4636.0 | Tempo Decorrido: 0.0185s
Ciclo 0030 | Temp: 8603.84 | Melhor Custo: 4636.0 | Tempo Decorrido: 0.0220s
Ciclo 0035 | Temp: 8390.89 | Melhor Custo: 4527.0 | Tempo Decorrido: 0.0250s
Ciclo 0040 | Temp: 8183.20 | Melhor Custo: 4331.0 | Tempo Decorrido: 0.0290s
Ciclo 0045 | Temp: 7980.66 | Melhor Custo: 4331.0 | Tempo Decorrido: 0.0325s
Ciclo 0050 | Temp: 7783.13 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0360s
Ciclo 0055 | Temp: 7590.48 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0398s
Ciclo 0060 | Temp: 7402.61 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0428s
Ciclo 0065 | Temp: 7219.39 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0458s
Ciclo 0070 | Temp: 7040.70 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0508s
Ciclo 0075 | Temp: 6866.43 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0549s
Ciclo 0080 | Temp: 6696.48 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0580s
Ciclo 0085 | Temp: 6530.73 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0618s
Ciclo 0090 | Temp: 6369.09 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0658s
Ciclo 0095 | Temp: 6211.45 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0701s
Ciclo 0100 | Temp: 6057.70 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0726s
Ciclo 0105 | Temp: 5907.77 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0771s
Ciclo 0110 | Temp: 5761.54 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0793s
Ciclo 0115 | Temp: 5618.94 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0838s
Ciclo 0120 | Temp: 5479.86 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0868s
Ciclo 0125 | Temp: 5344.23 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0910s
Ciclo 0130 | Temp: 5211.95 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0940s
Ciclo 0135 | Temp: 5082.95 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.0990s
Ciclo 0140 | Temp: 4957.14 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1026s
Ciclo 0145 | Temp: 4834.45 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1061s
Ciclo 0150 | Temp: 4714.79 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1093s
Ciclo 0155 | Temp: 4598.09 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1148s
Ciclo 0160 | Temp: 4484.28 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1178s
Ciclo 0165 | Temp: 4373.29 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1216s
Ciclo 0170 | Temp: 4265.05 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1251s
Ciclo 0175 | Temp: 4159.48 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1281s
Ciclo 0180 | Temp: 4056.53 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1322s
Ciclo 0185 | Temp: 3956.12 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1357s
Ciclo 0190 | Temp: 3858.21 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1387s
Ciclo 0195 | Temp: 3762.71 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1422s
Ciclo 0200 | Temp: 3669.58 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1458s
Ciclo 0205 | Temp: 3578.75 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1508s
Ciclo 0210 | Temp: 3490.17 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1548s
Ciclo 0215 | Temp: 3403.79 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1588s
Ciclo 0220 | Temp: 3319.54 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1623s
Ciclo 0225 | Temp: 3237.38 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1663s
Ciclo 0230 | Temp: 3157.25 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1693s
Ciclo 0235 | Temp: 3079.10 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1728s
Ciclo 0240 | Temp: 3002.89 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1768s
Ciclo 0245 | Temp: 2928.56 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1798s
Ciclo 0250 | Temp: 2856.08 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1838s
Ciclo 0255 | Temp: 2785.39 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1878s
Ciclo 0260 | Temp: 2716.45 | Melhor Custo: 4232.0 | Tempo Decorrido: 0.1913s
