Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 4994.0 | Tempo Decorrido: 0.0010s
Ciclo 0005 | Temp: 9752.49 | Melhor Custo: 4491.0 | Tempo Decorrido: 0.0044s
Ciclo 0010 | Temp: 9511.10 | Melhor Custo: 4398.0 | Tempo Decorrido: 0.0074s
Ciclo 0015 | Temp: 9275.69 | Melhor Custo: 4398.0 | Tempo Decorrido: 0.0120s
Ciclo 0020 | Temp: 9046.10 | Melhor Custo: 4398.0 | Tempo Decorrido: 0.0151s
Ciclo 0025 | Temp: 8822.20 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0197s
Ciclo 0030 | Temp: 8603.84 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0236s
Ciclo 0035 | Temp: 8390.89 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0276s
Ciclo 0040 | Temp: 8183.20 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0312s
Ciclo 0045 | Temp: 7980.66 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0343s
Ciclo 0050 | Temp: 7783.13 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0427s
Ciclo 0055 | Temp: 7590.48 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0492s
Ciclo 0060 | Temp: 7402.61 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0563s
Ciclo 0065 | Temp: 7219.39 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0613s
Ciclo 0070 | Temp: 7040.70 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0654s
Ciclo 0075 | Temp: 6866.43 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0692s
Ciclo 0080 | Temp: 6696.48 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0743s
Ciclo 0085 | Temp: 6530.73 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0792s
Ciclo 0090 | Temp: 6369.09 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0836s
Ciclo 0095 | Temp: 6211.45 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0894s
Ciclo 0100 | Temp: 6057.70 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0940s
Ciclo 0105 | Temp: 5907.77 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.0980s
Ciclo 0110 | Temp: 5761.54 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1020s
Ciclo 0115 | Temp: 5618.94 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1070s
Ciclo 0120 | Temp: 5479.86 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1105s
Ciclo 0125 | Temp: 5344.23 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1141s
Ciclo 0130 | Temp: 5211.95 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1181s
Ciclo 0135 | Temp: 5082.95 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1224s
Ciclo 0140 | Temp: 4957.14 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1265s
Ciclo 0145 | Temp: 4834.45 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1300s
Ciclo 0150 | Temp: 4714.79 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1340s
Ciclo 0155 | Temp: 4598.09 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1380s
Ciclo 0160 | Temp: 4484.28 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1423s
Ciclo 0165 | Temp: 4373.29 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1464s
Ciclo 0170 | Temp: 4265.05 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1508s
Ciclo 0175 | Temp: 4159.48 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1554s
Ciclo 0180 | Temp: 4056.53 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1599s
Ciclo 0185 | Temp: 3956.12 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1630s
Ciclo 0190 | Temp: 3858.21 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1670s
Ciclo 0195 | Temp: 3762.71 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1724s
Ciclo 0200 | Temp: 3669.58 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1755s
Ciclo 0205 | Temp: 3578.75 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1791s
Ciclo 0210 | Temp: 3490.17 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1826s
Ciclo 0215 | Temp: 3403.79 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1857s
Ciclo 0220 | Temp: 3319.54 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1901s
Ciclo 0225 | Temp: 3237.38 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1932s
Ciclo 0230 | Temp: 3157.25 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.1972s
Ciclo 0235 | Temp: 3079.10 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2009s
Ciclo 0240 | Temp: 3002.89 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2038s
Ciclo 0245 | Temp: 2928.56 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2078s
Ciclo 0250 | Temp: 2856.08 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2104s
Ciclo 0255 | Temp: 2785.39 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2149s
Ciclo 0260 | Temp: 2716.45 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2180s
Ciclo 0265 | Temp: 2649.21 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2220s
Ciclo 0270 | Temp: 2583.64 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2261s
Ciclo 0275 | Temp: 2519.69 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2294s
Ciclo 0280 | Temp: 2457.33 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2320s
Ciclo 0285 | Temp: 2396.50 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2361s
Ciclo 0290 | Temp: 2337.19 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2407s
Ciclo 0295 | Temp: 2279.34 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2443s
Ciclo 0300 | Temp: 2222.92 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2477s
Ciclo 0305 | Temp: 2167.90 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2502s
Ciclo 0310 | Temp: 2114.24 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2552s
Ciclo 0315 | Temp: 2061.91 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2590s
Ciclo 0320 | Temp: 2010.88 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2621s
Ciclo 0325 | Temp: 1961.11 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2651s
Ciclo 0330 | Temp: 1912.57 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2693s
Ciclo 0335 | Temp: 1865.23 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2734s
Ciclo 0340 | Temp: 1819.06 | Melhor Custo: 4036.0 | Tempo Decorrido: 0.2764s
