Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5118.0 | Tempo Decorrido: 0.0006s
Ciclo 0001 | Temp: 9950.00 | Melhor Custo: 5118.0 | Tempo Decorrido: 0.0011s
Ciclo 0002 | Temp: 9900.25 | Melhor Custo: 4959.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 9850.75 | Melhor Custo: 4739.0 | Tempo Decorrido: 0.0022s
Ciclo 0004 | Temp: 9801.50 | Melhor Custo: 4739.0 | Tempo Decorrido: 0.0027s
Ciclo 0005 | Temp: 9752.49 | Melhor Custo: 4739.0 | Tempo Decorrido: 0.0032s
Ciclo 0006 | Temp: 9703.73 | Melhor Custo: 4739.0 | Tempo Decorrido: 0.0036s
Ciclo 0007 | Temp: 9655.21 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0041s
Ciclo 0008 | Temp: 9606.93 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0046s
Ciclo 0009 | Temp: 9558.90 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0051s
Ciclo 0010 | Temp: 9511.10 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0056s
Ciclo 0011 | Temp: 9463.55 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0062s
Ciclo 0012 | Temp: 9416.23 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0067s
Ciclo 0013 | Temp: 9369.15 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0072s
Ciclo 0014 | Temp: 9322.30 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0077s
Ciclo 0015 | Temp: 9275.69 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0082s
Ciclo 0016 | Temp: 9229.31 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0086s
Ciclo 0017 | Temp: 9183.16 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0091s
Ciclo 0018 | Temp: 9137.25 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0096s
Ciclo 0019 | Temp: 9091.56 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0101s
Ciclo 0020 | Temp: 9046.10 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0106s
Ciclo 0021 | Temp: 9000.87 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0111s
Ciclo 0022 | Temp: 8955.87 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0116s
Ciclo 0023 | Temp: 8911.09 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0121s
Ciclo 0024 | Temp: 8866.54 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0130s
Ciclo 0025 | Temp: 8822.20 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0135s
Ciclo 0026 | Temp: 8778.09 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0140s
Ciclo 0027 | Temp: 8734.20 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0146s
Ciclo 0028 | Temp: 8690.53 | Melhor Custo: 4707.0 | Tempo Decorrido: 0.0151s
Ciclo 0029 | Temp: 8647.08 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0156s
Ciclo 0030 | Temp: 8603.84 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0160s
Ciclo 0031 | Temp: 8560.82 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0165s
Ciclo 0032 | Temp: 8518.02 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0170s
Ciclo 0033 | Temp: 8475.43 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0175s
Ciclo 0034 | Temp: 8433.05 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0180s
Ciclo 0035 | Temp: 8390.89 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0185s
Ciclo 0036 | Temp: 8348.93 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0190s
Ciclo 0037 | Temp: 8307.19 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0196s
Ciclo 0038 | Temp: 8265.65 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0202s
Ciclo 0039 | Temp: 8224.32 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0208s
Ciclo 0040 | Temp: 8183.20 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0213s
Ciclo 0041 | Temp: 8142.29 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0218s
Ciclo 0042 | Temp: 8101.57 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0224s
Ciclo 0043 | Temp: 8061.07 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0229s
Ciclo 0044 | Temp: 8020.76 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0234s
Ciclo 0045 | Temp: 7980.66 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0240s
Ciclo 0046 | Temp: 7940.75 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0245s
Ciclo 0047 | Temp: 7901.05 | Melhor Custo: 4621.0 | Tempo Decorrido: 0.0250s
Ciclo 0048 | Temp: 7861.54 | Melhor Custo: 4499.0 | Tempo Decorrido: 0.0255s
Ciclo 0049 | Temp: 7822.24 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0261s
Ciclo 0050 | Temp: 7783.13 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0266s
Ciclo 0051 | Temp: 7744.21 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0272s
Ciclo 0052 | Temp: 7705.49 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0277s
Ciclo 0053 | Temp: 7666.96 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0283s
Ciclo 0054 | Temp: 7628.63 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0288s
Ciclo 0055 | Temp: 7590.48 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0293s
Ciclo 0056 | Temp: 7552.53 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0298s
Ciclo 0057 | Temp: 7514.77 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0304s
Ciclo 0058 | Temp: 7477.19 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0309s
Ciclo 0059 | Temp: 7439.81 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0315s
Ciclo 0060 | Temp: 7402.61 | Melhor Custo: 4483.0 | Tempo Decorrido: 0.0320s
