Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4873.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2126.0 | Tempo Decorrido: 0.19s
Geração 0200 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.36s
Geração 0300 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.53s
Geração 0400 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.69s
Geração 0500 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.86s
Geração 0600 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.01s
Geração 0700 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.18s
Geração 0800 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.34s
Geração 0900 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.51s
Geração 1000 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.69s
Geração 1100 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.86s
Geração 1200 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.03s
Geração 1300 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.19s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.36s
