Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 5004.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2558.0 | Tempo Decorrido: 0.31s
Geração 0200 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.52s
Geração 0300 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.73s
Geração 0400 | Melhor Custo: 2026.0 | Tempo Decorrido: 0.95s
Geração 0500 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.22s
Geração 0600 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.51s
Geração 0700 | Melhor Custo: 2026.0 | Tempo Decorrido: 1.79s
Geração 0800 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.10s
Geração 0900 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.39s
Geração 1000 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.68s
Geração 1100 | Melhor Custo: 2026.0 | Tempo Decorrido: 2.97s
Geração 1200 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.26s
Geração 1300 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.53s
Geração 1400 | Melhor Custo: 2026.0 | Tempo Decorrido: 3.84s
