Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 4626.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2241.0 | Tempo Decorrido: 0.24s
Geração 0200 | Melhor Custo: 2033.0 | Tempo Decorrido: 0.54s
Geração 0300 | Melhor Custo: 2033.0 | Tempo Decorrido: 0.82s
Geração 0400 | Melhor Custo: 2033.0 | Tempo Decorrido: 1.08s
Geração 0500 | Melhor Custo: 2033.0 | Tempo Decorrido: 1.34s
Geração 0600 | Melhor Custo: 2033.0 | Tempo Decorrido: 1.59s
Geração 0700 | Melhor Custo: 2033.0 | Tempo Decorrido: 1.86s
Geração 0800 | Melhor Custo: 2033.0 | Tempo Decorrido: 2.13s
Geração 0900 | Melhor Custo: 2033.0 | Tempo Decorrido: 2.40s
Geração 1000 | Melhor Custo: 2033.0 | Tempo Decorrido: 2.63s
Geração 1100 | Melhor Custo: 2033.0 | Tempo Decorrido: 2.90s
Geração 1200 | Melhor Custo: 2033.0 | Tempo Decorrido: 3.19s
Geração 1300 | Melhor Custo: 2033.0 | Tempo Decorrido: 3.43s
Geração 1400 | Melhor Custo: 2033.0 | Tempo Decorrido: 3.68s
