Iniciando GA (Orçamento: 225000 avaliações)...
Geração 0000 | Melhor Custo: 5105.0 | Tempo Decorrido: 0.00s
Geração 0100 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.32s
Geração 0200 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.59s
Geração 0300 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.80s
Geração 0400 | Melhor Custo: 2034.0 | Tempo Decorrido: 1.06s
Geração 0500 | Melhor Custo: 2034.0 | Tempo Decorrido: 1.35s
Geração 0600 | Melhor Custo: 2034.0 | Tempo Decorrido: 1.63s
Geração 0700 | Melhor Custo: 2034.0 | Tempo Decorrido: 1.91s
Geração 0800 | Melhor Custo: 2034.0 | Tempo Decorrido: 2.17s
Geração 0900 | Melhor Custo: 2034.0 | Tempo Decorrido: 2.41s
Geração 1000 | Melhor Custo: 2034.0 | Tempo Decorrido: 2.68s
Geração 1100 | Melhor Custo: 2034.0 | Tempo Decorrido: 2.93s
Geração 1200 | Melhor Custo: 2034.0 | Tempo Decorrido: 3.20s
Geração 1300 | Melhor Custo: 2034.0 | Tempo Decorrido: 3.46s
Geração 1400 | Melhor Custo: 2034.0 | Tempo Decorrido: 3.77s
